S. No.,Part No.,Description,USD Price,
399,HF0680900,HYDRAULIC FILTER SPIN ON,93.78,
400,CC0263700,COOLANT RESTORE PLUS,2463.13,
401,HF0683300,ESCORTS ROLLER EC5250 (SPIN ON),61.07,
402,331657800 S,HOSE ELBOW,430.78,
403,HF0755100,JCB EXCAV JS130 KNJ0288 (SPIN ON),19.49,
404,331658800 S,HOSE DEGREE,295.36,
405,HF0783500,HYDRAULIC FILTER SPIN ON,29.50,
406,HF0793500,KOMATSU EXCAV PC1250-7 (SPIN ON),88.38,
407,WF0201500,COOLANT FILTER SPIN ON,14.38,
408,WF0205100,BEML DUMPER HAULPACK LW85 / LW85D VJ 7034 (SPIN ON),15.61,
409,HF0794700,HYDRAULIC FILTER SPIN ON,44.18,
410,WF0205300,BEML LOADER BACKHOE BL200 (SPIN ON),30.07,
411,WF0205400,KOMATSU DUMPER HD465 (SPIN ON),37.88,
412,HF0795500,HYDRAULIC FILTER SPIN ON,28.62,
413,WF0205500,TEREX DUMPER 3311C  (SPIN ON),46.83,
414,HF0796800,HAMM 0 HD65 (SPIN ON),21.89,
415,WF0207100,BEML DUMPER BH-50 Or 210M (SPIN ON),27.94,
416,WF0207200,BEML BULDOZER BD155-A1 / BD155X (SPIN ON),37.90,
417,HF0798000,HYDRAULIC FILTER SPIN ON,65.52,
418,WF0207300,BEML DOZER D475 (SPIN ON),40.00,
419,HF2885000,HYUNDAI EXCAV R200W-7 (SPIN ON),15.01,
420,WF0207400,ATLAS COP TRUCK LHD ST1030 (SPIN ON),48.39,
421,HF2885300,CATBACKHOE LOADER 424 (SPIN ON),18.77,
422,WF0207500,CIL DG SET 1160 KVA,55.39,
423,HF2885700,SAMSUNG BOOMER L2D (SPIN ON),50.08,
424,WF0207600,L&T KOMATSU LOADER WA380 (SPIN ON),38.90,
425,HF2889300,BEML DOZER D31A-17 (SPIN ON),65.65,
426,HF2899300,CAT EXCAV 350 / 350L (SPIN ON),109.93,
427,HF2899600,GROVE CRANE RT760 (SPIN ON),146.79,
428,HF3500400,CAT CRAWLER TRACTOR D6H 9T6636 (SPIN ON),106.27,
429,HF3507700,VOGELE PAVER S1800-1 (SPIN ON),48.00,
430,HF3508200,LEIBHERR SFC 5810E (SPIN ON),83.77,
431,HF3513900,JCB LOADER 3D 02/100284,11.61,
432,HF3514000,HYDRAULIC FILTER SPIN ON,47.03,
433,HF3515000,HYDRAULIC FILTER SPIN ON,96.36,
434,WF0207700,LEIBHERR EXCAV A312,31.36,
435,HF3516200,HYDRAULIC FILTER SPIN ON,97.68,
436,WF0207800,COOLANT FILTER SPIN ON,18.92,
437,WF0208800,KOMATSU EXCAV PC300-7,19.31,
438,HF3517000,HYDRAULIC FILTER SPIN ON,81.80,
439,WF0209600,VOLVO DUMPER FH12 340 / 380 / 420 / 460 hp (SPIN ON),62.30,
440,WF0210400,COOLANT FILTER SPIN ON,21.99,
441,WF0212100,COOLANT FILTER SPIN ON,152.09,
442,HF3530500,HYDRAULIC FILTER SPIN ON,100.26,
443,WF0212600,COOLANT FILTER SPIN ON,101.86,
444,HF4000300,HYDRAULIC FILTER SPIN ON,79.11,
445,LF0050000,LUBE FILTER CARTRIDGE,34.75,
446,LF0050300,LUBE FILTER CARTRIDGE,8.90,
447,LF0050400,AVELING GRADER ASG 018(CARTRIDGE),14.08,
448,LF0050900N,AVELING GRADER ASG 018 (CARTRIDGE),25.65,
449,LF0051900,CAT CRAWLER TRACTOR D7E (CARTRIDGE),16.91,
450,LF0054600,LUBE FILTER CARTRIDGE,20.88,
451,LF0055800,CAT CRAWLER TRACTOR D3H (CARTRIDGE),27.31,
452,LF0056700,LUBE FILTER CARTRIDGE,9.70,
453,LF0057700,LUBE FILTER CARTRIDGE,71.96,
454,LF0059800,LUBE FILTER CARTRIDGE,7.96,
455,LF0063700,LUBE FILTER CARTRIDGE,15.80,
456,LF0066200,LUBE FILTER CARTRIDGE,14.07,
457,LF0067700,LUBE FILTER CARTRIDGE,20.06,
458,LF0074000,BEML BULDOZ BD50A-15 (CARTRIDGE),15.45,
459,LF0075000B,BEML BULDOZ BD155-A1/BD155X (CARTRIDGE),16.25,
460,WF0212700,COOLANT FILTER SPIN ON,105.79,
461,WF0214400,BEML BULDOZER BD65 (SPIN ON),31.72,
462,LF0332000,LUBE FILTER CARTRIDGE,20.90,
463,WF0215100,COOLANT FILTER SPIN ON,28.27,
464,LF0332800,CAT EXCAV 307C IR0714 (CARTRIDGE),17.20,
465,LF0335200,LUBE FILTER CARTRIDGE,30.99,
466,FH2345900,FUEL PRO,10190.71,
467,LF0335700,LUBE FILTER CARTRIDGE,19.19,
468,014278400 S,HEAD ASY,46.32,
469,LF0336400,LUBE FILTER CARTRIDGE,11.46,
470,331484900 S,HEAD ASY,167.94,
471,391485700 S,HEAD ASY,24.24,
472,LF0338400,LUBE FILTER CARTRIDGE,9.24,
473,394077700 S,HEAD ASY,47.00,
474,LF0343100,LUBE FILTER CARTRIDGE,7.69,
475,394428700 S,HEAD ASY,365.75,
476,394477700,HEAD & FUEL-WATER SAPERATOR ASSY,173.37,
477,LF0343200,KATO CRANE KR 45 - HV(CARTRIDGE),15.82,
478,331661500 S,HOSE HUMP,182.63,
479,331662800 S,HOSE REDUCER HUMP,184.18,
480,LF0344700,MITSUBISHI DUMPER AD250 (CARTRIDGE),14.07,
481,LF0348500,CAT DG SET 1000 KVA 1R0726 (CARTRIDGE),69.56,
482,LF0349800,LUBE FILTER CARTRIDGE,11.11,
483,LF0360700,LUBE FILTER CARTRIDGE,32.44,
484,LF0361000,BEML DOZER BD14W (CARTRIDGE),15.75,
485,LF0362900,LUBE FILTER CARTRIDGE,12.41,
486,LF0382700,TADANO FAUN CRANE ATF70-4 (CARTRIDGE),10.44,
487,LF0382900,TADANO FAUN CRANE ATF70-4 (CARTRIDGE),27.97,
488,LF0391400,VOLVO EXCAV EC210B (CARTRIDGE),18.35,
489,LF0397200,LUBE FILTER CARTRIDGE,19.85,
490,LF0400300,LUBE FILTER CARTRIDGE,11.81,
491,LF0404500,LUBE FILTER CARTRIDGE,38.98,
492,LF0409300,LUBE FILTER CARTRIDGE,16.76,
493,LF0409400,LUBE FILTER CARTRIDGE,40.19,
494,LF1603100,LUBE FILTER CARTRIDGE,223.22,
495,LF0065100,LUBE FILTER SPIN ON,7.31,
496,AF0189200,AIR FILTER SAFETY,26.62,
497,AF0190400 M,AF(S) BEML EXCAV BE650,36.24,
498,AF0193500 M,AF(S) CHAMPION GRADER 720 / 720A 28121,50.54,
499,AF0196300,AF(S) BEML DOZER D65 P522450,38.96,
500,AF0196600,AF(S) BOBCAT LOADER 751,35.48,
501,AF0198000,AF(S) BOBCAT LOADER S 250,26.17,
502,AF0410300,AF(S) BEML DOZER D31A-17,33.41,
503,391819600 S,BRACKET MOUNTING,22.81,
504,391819900 S,BRACKET MOUNTING,27.57,
505,011602400 S,GASKET ORING,38.26,
506,395108300 S,RESTRICTION INDICATOR,35.80,
507,025562200 S,GASKET RECT,2.05,
508,AF0451000,AIR FILTER SAFETY,20.97,
509,AF0181100,AIR FILTER PRIMARY,87.04,
510,AF0452300,AF(S) BITELLI SURFACE MINER 202M E118LS,97.28,
511,AF2555000,AF(P) IR LIGHT SOURCE,17.37,
512,AF0455400 M,AF(S) VOLVO LOADER L190,80.23,
513,AF0465400,AIR FILTER SAFETY,28.32,
514,AF0474600,AF(S) VOLVO BUS B7R 16609035,77.33,
515,AF2570800 M,AIR FILTER PRIMARY,147.45,
516,AF0476100 M,AIR FILTER SAFETY,94.37,
517,AF0481900,AF(S) CAT EXCAV 350 / 350L,67.25,
518,AF0045900,AIR FILTER PRIMARY,188.19,
519,AF2500800,AF(S) HITACHI EXCAVA EX100,39.16,
520,AF0460900,AF(P) CAT DG SET 1250 - 1500 KVA,196.93,
521,AF2511200 M,AF(S) CAT DOZER D12H,31.30,
522,AF0084900,AIR FILTER PRIMARY,177.57,
523,AF2512600 M,AF(S) CAT CRAWLER TRACTOR D5H,40.39,
524,AF0089100 M,AIR FILTER PRIMARY,234.18,
525,AF2513000 M,AF(S) CAT EXCAV 330B /330BL,66.98,
526,AF2513200 M,AF(S) CAT MOTOR GRADER 120H,77.24,
527,AF0186900,AF(P) CAT DG SET 320 - 377 KVA 4N0015,188.31,
528,AF2513600 M,AF(S) CAT CRAWLER TRACTOR,63.30,
529,AF2530500,AF(P) VOLVO DUMPER FH12 340 / 380 / 420 / 460 hp,13.49,
530,AF2513800 M,AF(S) CAT BLOCK HANDLER 988G,99.12,
531,AF0040900 KM,AF(P) BOBCAT LOADER S 250 6681474,30.64,
532,AF2523000,AF(S) CAT LOADER & TRAXCAVATORS 2204,242.22,
533,AF0085000,AIR FILTER PRIMARY,119.26,
534,AF2526300,AF(S) CAT EXCAV 350 / 350L,79.28,
535,AF2530800,AIR FILTER PRIMARY,52.65,
536,AF2528900 M,AF(S) CAT CRAWLER TRACTOR D9R,45.82,
537,AF2531700,AF(S) VOLVO DUMPER FH12 340 / 380 / 420 / 460 hp,125.09,
538,AF2531200,AIR FILTER PRIMARY,255.51,
539,AF2574500,AIR FILTER PRIMARY,60.43,
540,AF2536100,AIR FILTER SAFETY,42.78,
541,AF0039000,AIR FILTER PRIMARY,21.22,
542,AF2541200,AF(S) TELCON EXCAV EX210,86.49,
543,AF0160600 K,AIR FILTER PRIMARY,34.46,
544,AF2542400,AF(S) BOMAG TANDOM ROLLER,48.33,
545,AF0025100,AIR FILTER PRIMARY,27.03,
546,AF2543400,AF(S) ESAB WELDING GENSET KHH400,27.51,
547,AF2547600,AIR FILTER PRIMARY,132.32,
548,AF2546800,AF(S) ATLAS COPCO MINING TRUCK LHD,143.26,
549,AF2557300,AIR FILTER PRIMARY,188.73,
550,AF2567000,AF(P) SAMSUNG BOOMER L2D,28.55,
551,AF2579900,AIR FILTER PRIMARY,185.03,
552,AF2548500,AIR FILTER SAFETY,19.02,
553,AF2582500,AIR FILTER PRIMARY,166.12,
554,AF2549100,AF(S) JCB EXCAV JS200,52.58,
555,AF0035100 KM,AIR FILTER PRIMARY,64.58,
556,AF0035300 K,AF(P) P&H CRANE RT 130,45.15,
557,AF2552300,AF(S) CATASPHALT PAVER,85.77,
558,AF0035300 KM,AIR FILTER PRIMARY,58.62,
559,AF2554500,AF(S) CIL DG SET 1160 KVA,127.07,
560,AF0035500,AIR FILTER PRIMARY,39.33,
561,AF0038100,AIR FILTER PRIMARY,14.61,
562,AF2555200,AF(S) ARROW KERB MACHINE 750XL,23.89,
563,AF0410600,AF(P) VOLVO LOADER L120D,10.37,
564,AF2555800,AF(S) TELCON EXCAV ZX-110,28.22,
565,AF2561800,AF(S) CAT ROLLER CS533E,30.77,
566,AF2562000,AF(S) VOLVO EXCAV EC460B,98.69,
567,AF0451300,AIR FILTER PRIMARY,52.36,
568,AF0454800,AIR FILTER PRIMARY,144.27,
569,AF2562400,AF(S) CAT EXCAV 320CLU,53.87,
570,AF2574900,AF(S) VOLVO EXCAV EC210B,40.75,
571,AF2575500,AF(S) DYNAPAC TANDOM ROLLER CC222HF,49.19,
572,AF2588900,AIR FILTER SAFETY,44.28,
573,AF2589700,AIR FILTER SAFETY,86.95,
574,LF0065400,CAT CRAWLER TRACTOR D3C - 3 1R0734 (SPIN ON),9.01,
575,AF0484000,AIR FILTER PRIMARY,47.40,
576,LF0068000,LUBE FILTER SPIN ON,25.21,
577,LF0069000,LUBE FILTER SPIN ON,15.83,
578,AF0493900,AIR FILTER PRIMARY,22.52,
579,AF2616200,AF(S) VOLVO DUMPER FM12,292.97,
580,AF0497300 K,AIR FILTER PRIMARY,19.15,
581,AA0294800,KIT (AF25277+AF25276)- Liugong Loader(OLD),219.69,
582,AF0097000,AIR FILTER PRIMARY,113.62,
583,LF0069100,CAT BLOCK HANDLER 988G (SPIN ON),38.42,
584,AF0033100,AIR FILTER PRIMARY,40.36,
585,AA0295500,KIT AIR FILTER,51.41,
586,LF0069100A,CAT BLOCK HANDLER 988G (SPIN ON),32.81,
587,AF0085200,AIR FILTER PRIMARY,166.24,
588,FF0010600,FUEL FILTER CARTRIDGE,8.26,
589,LF0069400,LUBE FILTER SPIN ON,10.44,
590,AF0035000 K,AIR FILTER PRIMARY,40.16,
591,LF0069700,LUBE FILTER SPIN ON,9.80,
592,FF0011000,FUEL FILTER CARTRIDGE,9.12,
593,LF0069900,CAT LOADER 424 81362635 / 7W2326 (SPIN ON),18.24,
594,LF0070100,JCB EXCAV 5D/3DS (SPIN ON),13.97,
595,LF0072600,LUBE FILTER SPIN ON,23.81,
596,AF0081700 K,AIR FILTER PRIMARY,42.12,
597,LF0072700,LUBE FILTER SPIN ON,15.26,
598,AF0041300,AIR FILTER PRIMARY,75.72,
599,LF0073400,CHAMPION GRADER 720 / 720A 36847 (SPIN ON),35.28,
600,LF0074200,LUBE FILTER SPIN ON,8.51,
601,AF0405000,AIR FILTER PRIMARY,80.33,
602,LF0074700,BEML BULDOZ BD155 (SPIN ON),42.21,
603,AF0408800,AIR FILTER PRIMARY,24.51,
604,LF0076000,KOMATSU EXCAV PC220-5(SPIN ON),10.54,
605,AF0182100 M,AIR FILTER PRIMARY,118.17,
606,AF0189600 M,AIR FILTER PRIMARY,53.87,
607,LF0078500,LUBE FILTER SPIN ON,7.91,
608,FF0011100,FUEL FILTER CARTRIDGE,7.62,
609,AF2544100,AIR FILTER PRIMARY,70.83,
610,FF0011200,TEREX DUMPER 3311C (CARTRIDGE),8.47,
611,LF0078700,LUBE FILTER SPIN ON,9.96,
612,FF0011400,FUEL FILTER CARTRIDGE,5.13,
613,AF2559100,AIR FILTER PRIMARY,67.54,
614,AF2566400,AF(P) CAT LOADER 950 G,21.87,
615,FF0011600,CAT CRAWLER TRACTOR D7E (CARTRIDGE),6.83,
616,LF0331300,HITACHI EXCAVA EX-60-2 (SPIN ON),7.28,
617,FF0012200,FUEL FILTER CARTRIDGE,15.17,
618,FF0012700,TEREX DUMPER 3311C (CARTRIDGE),21.19,
619,LF0331600,HITACHI EXCAVA EX-60 & EX-60-1(SPIN ON),10.41,
620,FF0014400,FUEL FILTER CARTRIDGE,9.51,
621,AF0405700,AIR FILTER PRIMARY,53.23,
622,FF0017800,FUEL FILTER CARTRIDGE,44.10,
623,LF0332700,BITELLI SURFACE MINER 202M (SPIN ON),31.10,
624,AF0457400,AIR FILTER PRIMARY,16.59,
625,FF0020300,FUEL FILTER CARTRIDGE,32.81,
626,AF0487400,AF(P) CAT DG SET 1250 - 1500 KVA,169.23,
627,FF0020500,KOMATSU GRADER GD37 6H (CARTRIDGE),18.47,
628,LF0333300,DAEWOO EXCAV 300 SOLAR 47100080 (SPIN ON),44.95,
629,AF0085300 M,AIR FILTER PRIMARY,80.94,
630,FF0022500,BEML BULDOZ BD50A-15 (CARTRIDGE),8.30,
631,AF0182000 M,AIR FILTER PRIMARY,37.27,
632,FF0023000,LEIBHERR CRANE LT1160/1 (CARTRIDGE),15.89,
633,AF2547700,AF(P) CAT FORKLIFT DP20 - DP30,28.54,
634,FF0403300,MAN TRUCKS 40280(CARTRIDGE),9.88,
635,FF0502900,FUEL STRAINER- DAEWOO EXCAV 220 LC-V,8.08,
636,AF2567200,AIR FILTER PRIMARY,33.38,
637,LF0333800,BOBCAT LOADER 873 (SPIN ON),10.41,
638,AF0175200 M,AIR FILTER PRIMARY,69.69,
639,FF0504500,FUEL FILTER CARTRIDGE,31.99,
640,FF0505000,FUEL FILTER CARTRIDGE,6.38,
641,LF0334100,LUBE FILTER SPIN ON,10.56,
642,FF0505400,BITELLI SURFACE MINER 202M (CARTRIDGE),8.33,
643,AF0497200,AIR FILTER PRIMARY,45.81,
644,LF0334200,CAT CRAWLER TRACTOR D3C - 2 (SPIN ON),7.96,
645,FF0505700,FUEL FILTER CARTRIDGE,7.73,
646,AF0036100,AIR FILTER PRIMARY,73.27,
647,FF0506400,FUEL FILTER CARTRIDGE,22.95,
648,AF2549600,AIR FILTER PRIMARY,68.94,
649,LF0335300,LUBE FILTER SPIN ON,11.45,
650,AF0174800,AIR FILTER PRIMARY,164.58,
651,FF0506900,FUEL FILTER CARTRIDGE,5.36,
652,AF2618600,AIR FILTER PRIMARY,84.40,
653,LF0335600,LUBE FILTER SPIN ON,18.34,
654,FF0507100,FUEL FILTER CARTRIDGE,7.82,
655,AF0025900,AIR FILTER PRIMARY,33.84,
656,FF0510300,ARROW KERB MACHINE 750XL (CARTRIDGE),6.23,
657,LF0336300,LUBE FILTER SPIN ON,48.91,
658,AF0026300,AIR FILTER PRIMARY,185.57,
659,FF0511900,FUEL FILTER CARTRIDGE,18.86,
660,AF0033600 M,AIR FILTER PRIMARY,74.98,
661,FF0512100,FUEL FILTER CARTRIDGE,6.56,
662,LF0337200,LUBE FILTER SPIN ON,24.52,
663,AF0034400 M,AIR FILTER PRIMARY,48.16,
664,FF0525900,TELCON EXCAV ZX50U (CARTRIDGE),12.84,
665,AF0040900 K,AIR FILTER PRIMARY,43.58,
666,FF0532300,CAT DG SET 1250 - 1500 KVA (CARTRIDGE),28.73,
667,LF0337600,JCB SKID STEER ROBOT (SPIN ON),15.48,
668,FF0533700,CIL DG SET 1000 KVA 1R0718 (CARTRIDGE),16.17,
669,AF0041800,AF(P) DAEWOO EXCAV 280 24746003,43.19,
670,FF0538000,TADANO FAUN CRANE ATF70-4 (CARTRIDGE),30.14,
671,AF0042100 M,AIR FILTER PRIMARY,129.43,
672,FF0538300,HITACHI EXCAVA EX100 (CARTRIDGE),127.65,
673,LF0338000,LUBE FILTER SPIN ON,67.36,
674,FF0540500,TADANO FAUN CRANE ATF70-4 (CARTRIDGE),41.92,
675,LF0338200,LUBE FILTER SPIN ON,10.37,
676,FF0541500,FUEL FILTER CARTRIDGE,16.77,
677,FF0541800,FUEL FILTER CARTRIDGE,50.37,
678,FF0546500,FUEL FILTER CARTRIDGE,93.18,
679,LF0340000,BOBCAT LOADER 751(SPIN ON),12.04,
680,FF0546800,FUEL FILTER CARTRIDGE,14.07,
681,FF0558400,SANY GRADER 0 (CARTRIDGE),59.03,
682,LF0340200,LUBE FILTER SPIN ON,14.48,
683,LF0340300,LUBE FILTER SPIN ON,8.65,
684,FF0010400,HITACHI EXCAVA EX-300 (SPIN ON),8.62,
685,LF0340500,BEML EXCAV BE300LC (SPIN ON),29.71,
686,LF0341300,HAMM HD65 LF3413 (SPIN ON),26.05,
687,LF0341500,KOMATSU LOADER WA180-1 (SPIN ON),11.28,
688,LF0342000,LUBE FILTER SPIN ON,15.61,
689,LF0345900,LUBE FILTER SPIN ON,17.28,
690,LF0346000,LUBE FILTER SPIN ON,10.68,
691,LF0346200,TELCON EXCAV ZX50U 4454526 (SPIN ON),6.25,
692,LF0347600,LUBE FILTER SPIN ON,25.68,
693,LF0347800,HITACHI EXCAVA EX100,16.39,
694,LF0348100,LUBE FILTER SPIN ON,28.67,
695,LF0353200,KOMATSU EXCAV PC100 (SPIN ON),8.04,
696,LF0353600,IR LIGHT SOURCE D1105 (SPIN ON),8.57,
697,FF0016700,FUEL FILTER SPIN ON,8.83,
698,FF0016700A,JCB SKID STEER ROBOT (SPIN ON),8.25,
699,LF0354200,JCB EXCAV JS200,21.16,
700,FF0017200,FUEL FILTER SPIN ON,12.98,
701,FF0018300,CAT LOADER 910 (SPIN ON),9.63,
702,LF0355200,LUBE FILTER SPIN ON,13.92,
703,FF0021500,BITELLI ROLLER DTV100 BF586D (SPIN ON),16.62,
704,LF0356600,TEREX CONE CRUSHER 0 1R1808 (SPIN ON),81.30,
705,FF0022200,FUEL FILTER SPIN ON,16.60,
706,LF0356700,LUBE FILTER SPIN ON,19.21,
707,FF0022600,FUEL FILTER SPIN ON,10.93,
708,LF0357200,LUBE FILTER SPIN ON,45.95,
709,LF0358600,KATO CRANE KR 25-HV (SPIN ON),27.07,
710,FF0023100,ATLAS TRUCK ST 3.5 DEUTZ (SPIN ON),13.40,
711,LF0359100,LUBE FILTER SPIN ON,8.95,
712,AF0043400 KM,AF(P) KOMATSU EXCAV PC220-1,49.29,
713,FF0023200,BEML DOZER D65  (SPIN ON),10.76,
714,AF0043500 KM,AF(P) ESAB WELDING GENSET P182050,43.72,
715,LF0359400,LUBE FILTER SPIN ON,31.99,
716,FF0023400,CAT CRAWLER TRACTOR D5H (SPIN ON),12.21,
717,AF0043700 K,AF(P) BOBCAT LOADER 751 6598492,20.62,
718,FF0023500,FUEL FILTER SPIN ON,7.75,
719,LF0362000,MAIT PILLING RIG HR 260 (SPIN ON),23.97,
720,AF0043700 KM,AF(P) BOBCAT LOADER P182052,24.30,
721,LF0362400,LUBE FILTER SPIN ON,14.14,
722,AF0087500 M,AF(P) CAT CRAWLER TRACTOR D6D 1P7716,74.60,
723,FF0403600,FUEL FILTER SPIN ON,20.56,
724,AF0089100,AIR FILTER PRIMARY,256.57,
725,FF0405200A,AL TRUCKS TIGER  (SPIN ON),11.84,
726,LF0362500,TITAN423 W 962/Mann (SPIN ON),26.32,
727,AF0090600,AIR FILTER PRIMARY,69.96,
728,FF0407000,FUEL FILTER SPIN ON,13.00,
729,LF0363300,LUBE FILTER SPIN ON,34.10,
730,FF0501200,FUEL FILTER SPIN ON,8.43,
731,AF0090800,AIR FILTER PRIMARY,172.80,
732,FF0502100,FUEL FILTER SPIN ON,8.96,
733,AF0091900,AIR FILTER PRIMARY,101.53,
734,LF0363500,LUBE FILTER SPIN ON,18.88,
735,FF0503600,FUEL STRAINER -TEREX DUMPER 3311C,50.25,
736,AF0092100 M,AF(P) CAT CRAWLER TRACTOR D3C - 2 4N0326,40.85,
737,AF0093900,AIR FILTER PRIMARY,62.87,
738,LF0363900,LUBE FILTER SPIN ON,34.72,
739,FF0503700,TEREX DUMPER 3311C (SPIN ON),53.28,
740,AF0095600,AIR FILTER PRIMARY,214.29,
741,LF0364200,HITACHI EXCAVA EX100 (SPIN ON),15.75,
742,FF0503900,FUEL FILTER SPIN ON,15.20,
743,AF0095600 M,AF(P) EUCLID TIPPER RH30E,195.41,
744,FF0504000,SANY LOADER PQ190 (SPIN ON),7.70,
745,LF0366100,LUBE FILTER SPIN ON,31.17,
746,FF0505800,BEML LOADER BL-3 (SPIN ON),10.44,
747,AF0097500 M,AF(P) CAT EXCAV 330 - LC 3i0832,101.22,
748,FF0508100,BEML DOZER D31A-17 (SPIN ON),7.42,
749,AF0164100,AIR FILTER PRIMARY,193.76,
750,FF0508800,CAT EXCAV 307C (SPIN ON),6.99,
751,AF0173500 K,AIR FILTER PRIMARY,49.56,
752,LF0368200,LUBE FILTER SPIN ON,7.85,
753,FF0508900,CAT CRAWLER TRACTOR D3C - 3 (SPIN ON),7.68,
754,AF0176800 M,AF(P) CAT EXCAV 320 / 320L / 320N,47.55,
755,LF0368700,LUBE FILTER SPIN ON,32.19,
756,LF0370300,LEIBHERR LOADER L514 (SPIN ON),24.39,
757,AF0180200,AF(P) BITELLI SURFACE MINER 202M E118L,93.53,
758,AF0184500 K,AIR FILTER PRIMARY,45.17,
759,FF0510800,HITACHI EXCAVA EX100,17.31,
760,LF0371300,KOMATSU GRADER GD555-3 (SPIN ON),12.78,
761,AF0186200 M,AF(P) KOMATSU LOADER WA380-1 LC,96.75,
762,FF0511400,HITACHI EXCAVA EX-120,10.92,
763,LF0371500,DAEWOO EXCAV 300 (SPIN ON),22.38,
764,AF0190500 M,AF(P) BEML EXCAV BE650,117.92,
765,FF0513500,LEIBHERR CRANE 954 LITRONIC (SPIN ON),13.81,
766,LF0371600,DAEWOO EXCAV 280 (SPIN ON),31.53,
767,AF0192900,AIR FILTER PRIMARY,107.19,
768,FF0513600,FUEL FILTER SPIN ON,9.71,
769,LF0374400,LEIBHERR CRANE LT1160/1 (SPIN ON),24.49,
770,AF0193400 M,AF(P) CHAMPION GRADER 720 / 720A 28120,57.31,
771,FF0515600,LEIBHERR CRANE LT1160/1 (SPIN ON),12.72,
772,AF0196200,AF(P) BEML DOZER D65,88.40,
773,FF0520600,AVELING GRADER ASG 018 (SPIN ON),17.16,
774,LF0376600,DYNAPAC TANDOM ROLLER (SPIN ON),13.46,
775,AF0405900 K,AF(P) BEML DOZER D31A-17,38.96,
776,FF0520700,AVELING GRADER ASG 018 (SPIN ON),20.58,
777,LF0377600,LUBE FILTER SPIN ON,12.29,
778,LF0377800,LUBE FILTER SPIN ON,34.06,
779,AF0455300 M,AF(P) VOLVO LOADER L190,257.98,
780,LF0378600,TELCON EXCAV ZX70 / 70LC (SPIN ON),7.33,
781,AF0456700,AF(P) DAEWOO EXCAV 220 LC-III,70.62,
782,FF0523100,FUEL FILTER SPIN ON,10.09,
783,LF0380500,LUBE FILTER SPIN ON,16.89,
784,AF0458300 M,AIR FILTER PRIMARY,111.88,
785,FF0525300,BEML BULDOZ BD155 (SPIN ON),33.26,
786,FF0526900,FUEL FILTER SPIN ON,16.00,
787,AF0463700,AIR FILTER PRIMARY,37.33,
788,LF0382800,CATFORKLIFT DP20 - DP30 (SPIN ON),14.36,
789,FF0528500,FUEL FILTER SPIN ON,21.48,
790,AF0474800 K,AF(P) GREAVES SOIL COMPACTOR,83.03,
791,AF0475300 M,AIR FILTER PRIMARY,174.10,
792,FF0529700,FUEL FILTER SPIN ON,17.20,
793,LF0384800,LUBE FILTER SPIN ON,14.03,
794,FF0530400,BEML EXCAV BE220 (SPIN ON),10.56,
795,AF0475600,AIR FILTER PRIMARY,72.25,
796,LF0385000,LUBE FILTER SPIN ON,31.08,
797,AF0480100,AF(P) CAT EXCAV 350 / 350L,81.88,
798,FF0530700,FUEL FILTER SPIN ON,15.18,
799,FF0531200,FUEL FILTER SPIN ON,23.47,
800,AF0489100 M,AIR FILTER PRIMARY,44.55,
801,LF0388300,LUBE FILTER SPIN ON,24.74,
802,FF0531700,FUEL FILTER SPIN ON,55.00,
803,AF0495500,AIR FILTER PRIMARY,23.93,
804,FF0532000,CAT DG SET 180 - 250 KVA (SPIN ON),36.75,
805,AF2500900,AF(P) HITACHI EXCAVA EX100,65.60,
806,LF0397000,LUBE FILTER SPIN ON,25.51,
807,FF0532100,CAT LOADER 938G 1R 0751 (SPIN ON),27.20,
808,AF2503300 M,AIR FILTER PRIMARY,91.14,
809,FF0532200,CAT LOADER 938G 1R0753 (SPIN ON),19.73,
810,AF2506200,AF(P) CAT LOADER 2204,144.13,
811,FF0532400,CAT CRAWLER TRACTOR D5G (SPIN ON),57.63,
812,FF0533300,FUEL FILTER SPIN ON,32.88,
813,AF2506400,AIR FILTER PRIMARY,48.65,
814,LF0398300,LUBE FILTER SPIN ON,12.70,
815,FF0536700,KATO CRANE KR 300,16.32,
816,AF2506500,AF(P) BOMAG SOIL COMPACTOR,85.52,
817,LF0399600,LUBE FILTER SPIN ON,12.04,
818,FF0542100,FF for TC with ISBe Engine,15.98,
819,AF2511100 M,AF(P) CAT DOZER D12H,58.77,
820,LF0405400,ATLAS COP TRUCK ST 3.5 (SPIN ON),26.96,
821,FF0542700,LEIBHERR LOADER L544 (SPIN ON),24.98,
822,AF2512500 M,AF(P) CAT CRAWLER TRACTOR D5H,90.93,
823,FF0543200,FUEL FILTER SPIN ON,41.09,
824,LF0415400,LUBE FILTER SPIN ON,12.82,
825,FF0547100,FUEL FILTER SPIN ON,38.02,
826,AF2512900 M,AF(P) CAT EXCAV 330B /330BL,116.44,
827,FF0550700,VOLVO DUMPER FH12 (SPIN ON),45.88,
828,AF2513100 M,AF(P) CAT MOTOR GRADER 120H,127.41,
829,FF0557800,KOMATSU EXCAV PC300-6 (SPIN ON),20.82,
830,AF2513500 M,AF(P) CAT CRAWLER TRACTOR,127.48,
831,LF0900800,TELCON EXCAV ZX160LC (SPIN ON),47.80,
832,AF2513700 M,AF(P) CAT BLOCK HANDLER 988G,290.93,
